Form__File,Filed,Filing_entityperson
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"Anghami Inc  (ANGH, ANGHW)  OSN Streaming Ltd "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"Moatable, Inc.  (MTBLY)  Cosmic Giant International Ltd "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"MEDALLION FINANCIAL CORP  (MFIN, MBNKP)  Amster Howard "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"Lamb Weston Holdings, Inc.  (LW)  JANA Partners Management, LP "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"Rapid7, Inc.  (RPD)  JANA Partners Management, LP "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,Invesco Pennsylvania Value Municipal Income Trust  (VPV)  SIT INVESTMENT ASSOCIATES INC 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"WM TECHNOLOGY, INC.  (MAPS, MAPSW)  Hartfield Justin "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"InMed Pharmaceuticals Inc.  (INM)  YA II PN, Ltd. "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,"MONEYLION INC.  (ML, ML-WT)  Choubey Diwakar "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,Invesco Trust for Investment Grade New York Municipals  (VTN)  SIT INVESTMENT ASSOCIATES INC 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-18,DWS MUNICIPAL INCOME TRUST  (KTF)  SIT INVESTMENT ASSOCIATES INC 
SC 13D/A (Beneficial ownership report) ,2024-12-17,AGL Private Credit Income Fund  Abu Dhabi Investment Authority 
SC 13G (Beneficial ownership report) ,2024-12-17,"Montrose Environmental Group, Inc.  (MEG)  MILLENNIUM MANAGEMENT LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-17,FIRST NATIONAL CORP /VA/  (FXNC)  WILKINS III JAMES R 
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Arcus Biosciences, Inc.  (RCUS)  ROSEN TERRY J "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Newegg Commerce, Inc.  (NEGG)  TEKHILL USA LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-17,NACCO INDUSTRIES INC  (NC)  RANKIN ALFRED M ET AL 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"uniQure N.V.  (QURE)  EcoR1 Capital, LLC "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Vertical Aerospace Ltd.  (EVTL, EVTWF)  Fitzpatrick Stephen James "
SC 13D (Beneficial ownership report) ,2024-12-17,BrilliA Inc  (BRIA)  Hartanto Kendrew 
SC 13D/A (Beneficial ownership report) ,2024-12-17,Karbon-X Corp.  (KARX)  Hummingbird STAR Trust 
SC 13D/A (Beneficial ownership report) ,2024-12-17,"MSP Recovery, Inc.  (LIFW, MSPR, LIFWW, LIFWZ, MSPRW, MSPRZ)  Ruiz John Hasan "
SC 13D/A (Beneficial ownership report) ,2024-12-17,Logan Ridge Finance Corp.  (LRFC)  Frischer Charles L 
SC 13D/A (Beneficial ownership report) ,2024-12-17,Flora Growth Corp.  (FLGC)  Starke Clifford 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Veritone, Inc.  (VERI)  Steelberg Chad "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"CalEthos, Inc.  (GEDC)  FONTENOT SEAN PAUL "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Adverum Biotechnologies, Inc.  (ADVM)  Rush Ryan Bradford "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Better Home & Finance Holding Co  (BETR, BETRW)  Novator Capital Sponsor Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"NewAmsterdam Pharma Co N.V.  (NAMS, NAMSW)  Frazier Life Sciences X, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Eos Energy Enterprises, Inc.  (EOSE, EOSEW)  Cerberus Capital Management II, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Garrett Motion Inc.  (GTX)  Centerbridge Credit Partners Master, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-17,"PALVELLA THERAPEUTICS, INC.  (PIRS)  BIOTECHNOLOGY VALUE FUND L P "
SC 13D/A (Beneficial ownership report) ,2024-12-17,BICYCLE THERAPEUTICS PLC  (BCYC)  BAKER BROS. ADVISORS LP 
SC 13D (Beneficial ownership report) ,2024-12-17,"Neuronetics, Inc.  (STIM)  Madryn Asset Management, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"PGIM Private Real Estate Fund, Inc.  PGIM Strategic Investments, Inc. "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"NatWest Group plc  (NWG, RBSPF)  HM Treasury "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"ROCKWELL MEDICAL, INC.  (RMTI)  Irrevocable Larson Family Investment Trust "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"Vitesse Energy, Inc.  (VTS)  STEINBERG JOSEPH S "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,Franklin BSP Private Credit Fund  FRANKLIN RESOURCES INC 
SC 13D/A (Beneficial ownership report) ,2024-12-17,"OLD MARKET CAPITAL Corp  (OMCC)  MAGNOLIA CAPITAL FUND, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"NewAmsterdam Pharma Co N.V.  (NAMS, NAMSW)  Forbion Capital Fund IV Cooperatief U.A. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,AIM ImmunoTech Inc.  (AIM)  Deutsch Todd 
SC 13G (Beneficial ownership report) ,2024-12-17,"Candel Therapeutics, Inc.  (CADL)  CVI Investments, Inc. "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,Nerdy Inc.  (NRDY)  Cohn Charles K. 
SC 13G (Beneficial ownership report) ,2024-12-17,"United Homes Group, Inc.  (UHG, UHGWW)  Fidelity National Financial, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-17,"Protara Therapeutics, Inc.  (TARA)  Velan Capital Investment Management LP "
SC 13D/A (Beneficial ownership report) ,2024-12-17,Monopar Therapeutics  (MNPR)  Tactic Pharma LLC 
SC 13G (Beneficial ownership report) ,2024-12-17,Trinseo PLC  (TSE)  CastleKnight Master Fund LP 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Bark, Inc.  (BARK, BARK-WT)  Strife Carly "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"FLUSHING FINANCIAL CORP  (FFIC)  GAMCO INVESTORS, INC. ET AL "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,INNO HOLDINGS INC.  (INHD)  Chen Longlong 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,Verano Holdings Corp.  (VRNOF)  Archos George Peter 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,INNO HOLDINGS INC.  (INHD)  Wang Qi 
SC 13D (Beneficial ownership report) ,2024-12-17,NACCO INDUSTRIES INC  (NC)  RANKIN ALFRED M ET AL 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,UP Fintech Holding Ltd  (TIGR)  Tigerex Holding Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-17,"ATI Physical Therapy, Inc.  (ATIP, ATIPW)  ADVENT INTERNATIONAL, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,51Talk Online Education Group  (COE)  Huang Jack Jiajia 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Inspirato Inc  (ISPO, ISPOW)  One Planet Group LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-17,Flora Growth Corp.  (FLGC)  Vaiman Dany 
SC 13G (Beneficial ownership report) ,2024-12-17,"OFFICE PROPERTIES INCOME TRUST  (OPI, OPINL)  MSD Partners, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-17,QUAKER CHEMICAL CORP  (KWR)  Gulf Hungary Holding Korlatolt Felelossegu Tarsasag 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"CERO THERAPEUTICS HOLDINGS, INC.  (CERO, CEROW)  YK Bioventures Opportunities GP I, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"Cardiff Oncology, Inc.  (CRDF)  COMMODORE CAPITAL LP "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"PALVELLA THERAPEUTICS, INC.  (PIRS)  Dellora Investments LP "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-17,"ReTo Eco-Solutions, Inc.  (RETO)  Ever Best Trading Corp Ltd "
SC 13D/A (Beneficial ownership report) ,2024-12-17,"NewAmsterdam Pharma Co N.V.  (NAMS, NAMSW)  BCLS II Investco, LP "
SC 13G (Beneficial ownership report) ,2024-12-16,"Fangdd Network Group Ltd.  (DUO)  L1 Capital Global Opportunities Master Fund, Ltd. "
SC 13G (Beneficial ownership report) ,2024-12-16,"Enviva, LLC  (EVVAQ)  Arena Capital Advisors, LLC- CA "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"Granite Ridge Resources, Inc.  (GRNT)  GREP GP III, LLC "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"Agrify Corp  (AGFY)  RSLGH, LLC "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,MoneyLion Inc.  Choubey Diwakar 
SC 13D/A (Beneficial ownership report) ,2024-12-16,"BlackRock Innovation & Growth Term Trust  (BIGZ)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"ROCKET PHARMACEUTICALS, INC.  (RCKT, RCKTW)  RTW INVESTMENTS, LP "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"United Homes Group, Inc.  (UHG, UHGWW)  HAMAMOTO DAVID T "
SC 13G/A (Beneficial ownership report) ,2024-12-16,COPART INC  (CPRT)  JOHNSON WILLIS J 
